LOC109787654	37	85	36	44	35	34	52	46	57	16	92
LOC109787655	0	0	0	0	5	1	6	0	8	0	0
LOC109787656	13	2	4	17	76	17	38	13	17	10	3
LOC109787657	1	10	1	2	1	33	28	28	34	0	5
LOC109787658	3	11	10	0	3	0	1	9	29	0	56
LOC109787659	2	0	0	0	0	0	0	0	0	1	23
LOC109787660	22	24	73	600	0	112	30	22	19	1	17
LOC109787661	0	0	0	0	0	0	0	0	0	0	0
LOC109787662	0	0	0	0	0	0	0	0	0	0	0
LOC109787663	0	0	0	0	0	0	0	0	0	0	0
LOC109787664	0	0	0	0	0	0	0	0	0	0	1
LOC109787665	4	11	6	0	15	48	39	2	15	1	1
LOC109787666	27	1952	137	9	51	53	62	43	61	4	753
LOC109787667	2	18	6	3	0	2	2	4	5	0	0
LOC109787668	9	17	24	22	12	40	21	22	15	9	25
LOC109787669	163	175	268	331	20	276	309	263	185	152	155
LOC109787670	0	11	8	0	7	22	11	21	8	3	5
LOC109787671	422	86	255	338	536	106	212	155	262	208	129
LOC109787672	0	0	0	0	0	0	0	0	0	0	8
LOC109787673	10	1	7	0	95	36	42	13	100	0	0
LOC109787674	107	181	145	150	176	195	196	178	181	81	148
LOC109787675	14	175	20	13	24	10	22	25	48	7	135
LOC109787676	0	0	0	0	0	0	0	0	0	0	0
LOC109787677	0	0	0	0	0	0	0	0	0	0	0
LOC109787678	3	25	11	13	5	17	22	27	14	4	24
LOC109787679	54	17	368	85	405	29	79	16	58	3	40
LOC109787680	24	56	52	321	23	11	33	42	28	12	56
LOC109787681	0	0	30	19	0	0	0	0	2	0	0
LOC109787682	0	0	0	0	0	0	0	0	0	0	0
LOC109787683	0	5	1	1	1	1	3	3	3	0	2
LOC109787684	0	0	12	4	0	2	1	1	2	0	0
LOC109787685	25	59	59	59	81	89	88	99	111	26	66
LOC109787686	0	74	3	0	3	0	0	0	2	0	54
LOC109787687	0	0	0	0	0	0	0	0	0	0	7
LOC109787688	3	12	9	1	37	7	10	8	13	0	19
LOC109787689	0	0	0	0	0	0	0	0	0	0	0
LOC109787690	0	0	0	0	0	0	0	0	0	0	0
LOC109787691	0	0	3	3	0	0	0	0	0	1	0
LOC109787692	32	41	30	21	55	19	46	42	47	22	34
LOC109787693	0	0	0	0	0	0	0	0	0	0	0
LOC109787694	0	0	0	0	0	0	0	0	0	0	0
LOC109787695	38	37	72	62	44	130	94	57	54	31	53
LOC109787696	6	28	8	19	9	35	20	29	30	8	30
LOC109787697	0	0	1	1	1	0	0	2	0	0	0
LOC109787698	123	38	445	267	2	144	238	126	100	106	4
LOC109787699	0	19	3	4	0	9	2	5	10	2	9
LOC109787700	23	17	4	1	2	0	1	2	4	12	33
LOC109787701	51	28	65	68	15	27	34	16	31	54	62
LOC109787702	59	27	45	88	27	62	49	56	54	66	42
LOC109787703	50	34	65	79	101	34	67	45	63	35	46
LOC109787704	2	1	1	3	3	1	4	1	0	1	3
LOC109787705	16	120	21	34	36	25	45	30	56	16	75
LOC109787706	0	0	0	0	0	0	0	0	0	0	0
LOC109787707	0	0	0	0	0	0	0	0	0	0	0
LOC109787708	0	0	0	0	0	0	0	0	0	0	0
LOC109787709	0	0	0	0	0	0	0	0	0	0	0
LOC109787710	0	0	0	0	0	0	0	0	0	0	0
LOC109787712	3	4	33	1	51	41	68	18	20	0	0
LOC109787713	0	0	0	0	5	8	31	0	1	0	0
LOC109787714	0	0	0	0	1	3	14	0	0	0	0
LOC109787715	0	0	0	0	0	0	0	0	0	0	0
LOC109787716	0	0	0	0	0	0	0	0	0	0	0
LOC109787717	0	0	0	0	0	0	0	0	0	0	0
LOC109787718	0	0	0	0	0	0	0	0	1	0	0
LOC109787719	0	4	2	1	3	8	1	5	3	0	7
LOC109787720	2	36	3	0	4	1	7	14	34	0	26
LOC109787721	8	27	14	9	6	46	49	28	29	6	29
LOC109787722	0	0	0	0	0	0	0	0	0	0	4
LOC109787723	0	0	0	0	0	0	0	0	0	0	8
LOC109787724	6	28	10	4	2	7	12	10	11	9	18
LOC109787725	5	1	1	2	2	6	5	4	1	2	2
LOC109787726	0	0	0	0	0	0	0	0	0	0	0
LOC109787727	0	0	0	0	0	0	0	0	0	0	0
LOC109787728	0	0	0	0	0	0	0	0	0	0	0
LOC109787729	0	2	1	4	2	0	0	0	1	0	2
LOC109787730	0	0	0	0	0	0	0	0	0	0	0
LOC109787731	0	0	0	0	0	0	0	0	0	0	0
LOC109787732	0	0	0	0	0	0	0	0	0	0	0
LOC109787733	6	10	11	6	12	40	31	17	53	3	48
LOC109787734	2	5	1	1	3	1	0	3	1	3	4
LOC109787735	0	0	0	0	0	0	0	0	0	0	0
LOC109787736	0	0	0	0	0	0	0	0	0	0	0
LOC109787737	0	0	0	0	0	0	0	0	0	0	2
LOC109787738	0	0	0	0	0	0	0	0	0	0	0
LOC109787739	65	166	57	47	86	43	53	61	81	73	88
LOC109787740	2	2	3	5	5	2	6	3	8	1	10
LOC109787741	6	19	25	9	5	13	19	14	21	9	28
LOC109787742	0	25	2	0	0	0	2	0	0	0	0
LOC109787743	0	0	0	0	0	0	0	0	0	0	0
LOC109787744	9	0	6	0	675	2	1	0	3	0	9
LOC109787745	44	100	43	57	23	47	77	75	123	38	87
LOC109787746	36	72	66	69	123	54	58	63	81	24	57
LOC109787747	10	13	80	15	205	6	18	28	47	3	5
LOC109787748	191	154	117	108	87	80	116	141	111	284	135
LOC109787749	45	11	82	8	17	9	14	9	49	19	17
LOC109787750	0	0	0	0	0	0	0	0	0	0	0
LOC109787751	0	0	0	0	0	0	0	0	0	0	0
LOC109787752	388	32	211	138	74	82	116	54	111	600	305
LOC109787753	0	0	8	10	0	0	0	0	0	0	0
LOC109787754	55	413	296	307	69	248	264	364	225	31	68
LOC109787755	104	118	114	143	106	146	153	185	145	96	150
LOC109787756	25	50	50	21	121	27	87	39	74	12	12
LOC109787757	1	68	48	143	1	149	55	49	19	0	30
LOC109787758	27	18	25	24	7	73	54	37	33	9	23
LOC109787759	1	2	22	16	2	8	16	17	18	1	1
LOC109787760	7	20	8	14	7	16	9	10	24	5	13
LOC109787761	1	13	1	2	9	31	39	46	26	0	0
LOC109787762	2	0	42	19	0	0	0	2	3	0	0
LOC109787763	7	22	5	35	3	19	5	7	15	2	43
LOC109787764	10	8	5	1	5	44	18	10	10	16	2
LOC109787765	0	0	0	0	0	0	0	0	0	0	0
LOC109787766	0	0	0	0	0	0	0	0	0	0	0
LOC109787767	10	35	17	23	1	12	14	8	22	7	49
LOC109787768	4	0	7	0	1	1	2	0	0	0	6
LOC109787769	0	0	0	0	0	0	0	0	0	0	0
LOC109787770	0	0	0	0	0	0	0	0	0	0	0
LOC109787771	5	54	18	8	28	48	30	37	42	2	57
LOC109787774	0	1	0	0	3	0	0	0	0	0	0
LOC109787775	4	86	77	51	108	100	91	92	106	1	3
LOC109787776	1	2	4	4	6	2	2	3	8	1	1
